x y z
-4.575019459592945 -2.93572698410417 0.1145063788296315
-4.573272180451617 -2.93835113515886 0.114478201136757
-4.571523283755496 -2.940974246926266 0.1144499829532467
-4.569772770075771 -2.943596318448106 0.1144217242878949
-4.568020639984152 -2.946217348766358 0.1143934251495086
-4.566266894052875 -2.948837336923257 0.1143650855469072
-4.564511532854692 -2.951456281961293 0.1143367054889233
-4.562754556962879 -2.954074182923219 0.1143082849844019
-4.560995966951229 -2.956691038852044 0.1142798240422009
-4.559235763394057 -2.959306848791037 0.1142513226711908
-4.557473946866205 -2.961921611783724 0.114222780880255
-4.555710517943028 -2.964535326873891 0.1141941986782894
-4.55394547720041 -2.967147993105583 0.1141655760742028
-4.552178825214747 -2.969759609523104 0.1141369130769165
-4.550410562562965 -2.97237017517102 0.114108209695365
-4.548640689822502 -2.974979689094154 0.1140794659384949
-4.546869207571318 -2.977588150337595 0.114050681815266
-4.545096116387903 -2.980195557946683 0.1140218573346506
-4.543321416851256 -2.982801910967028 0.1139929925056338
-4.541545109540906 -2.985407208444494 0.1139640873372134
-4.539767195036892 -2.988011449425213 0.1139351418384
-4.537987673919783 -2.990614632955572 0.1139061560182167
-4.536206546770663 -2.993216758082221 0.1138771298856997
-4.534423814171135 -2.995817823852077 0.1138480634498975
-4.532639476703331 -2.998417829312312 0.1138189567198716
-4.530853534949894 -3.001016773510364 0.1137898097046962
-4.529065989493991 -3.003614655493933 0.1137606224134582
-4.527276840919309 -3.006211474310981 0.1137313948552571
-4.525486089810057 -3.008807229009737 0.1137021270392052
-4.52369373675096 -3.011401918638683 0.1136728189744276
-4.521899782327266 -3.013995542246576 0.1136434706700621
-4.520104227124739 -3.01658809888243 0.1136140821352592
-4.518307071729671 -3.019179587595525 0.1135846533791821
-4.516508316728867 -3.021770007435406 0.1135551844110066
-4.514707962709654 -3.024359357451879 0.1135256752399215
-4.512906010259875 -3.026947636695018 0.1134961258751282
-4.511102459967898 -3.029534844215159 0.1134665363258407
-4.50929731242261 -3.032120979062905 0.1134369066012858
-4.507490568213415 -3.034706040289123 0.1134072367107031
-4.505682227930239 -3.037290026944947 0.1133775266633449
-4.503872292163526 -3.039872938081774 0.1133477764684762
-4.502060761504238 -3.042454772751271 0.1133179861353746
-4.500247636543862 -3.045035530005366 0.1132881556733306
-4.4984329178744 -3.047615208896258 0.1132582850916474
-4.496616606088369 -3.05019380847641 0.1132283743996407
-4.494798701778817 -3.052771327798554 0.1131984236066392
-4.4929792055393 -3.055347765915684 0.1131684327219843
-4.491158117963903 -3.057923121881068 0.1131384017550299
-4.489335439647221 -3.060497394748237 0.1131083307151428
-4.487511171184374 -3.063070583570989 0.1130782196117024
-4.485685313170994 -3.065642687403395 0.113048068454101
-4.483857866203244 -3.068213705299789 0.1130178772517434
-4.482028830877791 -3.070783636314778 0.1129876460140474
