y x z
2.810737821893808e-05 0.3074999989342997 0
3.13347560664156e-05 0.3074999986755448 0
3.456213385168413e-05 0.3074999983886612 0
1.290951124829408e-05 0.30749999977521 0
1.613688923412535e-05 0.3074999996487667 0
1.936426726594789e-05 0.3074999994942412 0
2.259164517478321e-05 0.3074999993116044 0
2.581902316691302e-05 0.3074999991008808 0
2.904640110992732e-05 0.3074999988621021 0
3.227377873469846e-05 0.3074999985952053 0
3.550115650330774e-05 0.3074999983001897 0
1.384853362520547e-05 0.3074999997414592 0
1.707591084247616e-05 0.307499999606873 0
2.030328816020414e-05 0.3074999994442092 0
2.353066536288069e-05 0.3074999992534185 0
2.675804264639767e-05 0.3074999990345177 0
2.998542000500408e-05 0.3074999987875617 0
3.321279714646688e-05 0.3074999985124952 0
3.644017443806744e-05 0.3074999982093365 0
1.478755110303083e-05 0.3074999997052861 0
1.801492837036699e-05 0.307499999562529 0
2.124230542689471e-05 0.3074999993917245 0
2.446968221043381e-05 0.3074999991927852 0
2.769705916146874e-05 0.3074999989657565 0
3.09244361605896e-05 0.3074999987106268 0
3.415181319210169e-05 0.3074999984274084 0
1.249918966855044e-05 0.3074999997895267 0
1.572656689692361e-05 0.3074999996667168 0
1.895394413239022e-05 0.3074999995158105 0
2.218132122506755e-05 0.3074999993368329 0
2.540869806314915e-05 0.3074999991297503 0
2.863607518061275e-05 0.3074999988945666 0
3.186345220236194e-05 0.307499998631303 0
3.509082909173664e-05 0.3074999983399205 0
1.343820559785943e-05 0.3074999997567736 0
1.666558285946642e-05 0.3074999996257994 0
1.989296007071608e-05 0.3074999994667669 0
2.3120337232709e-05 0.3074999992796278 0
2.63477144368106e-05 0.3074999990643907 0
2.957509188712534e-05 0.3074999988210368 0
3.2802469239095e-05 0.3074999985496155 0
3.602984604277322e-05 0.3074999982500932 0
1.437722223292622e-05 0.3074999997216439 0
1.760459893379833e-05 0.307499999582559 0
2.083197548767837e-05 0.3074999994153497 0
2.40593518618368e-05 0.3074999992200638 0
2.728672813751164e-05 0.3074999989966751 0
3.051410465509128e-05 0.3074999987451849 0
3.374148115841717e-05 0.3074999984656106 0
3.696885775170226e-05 0.3074999981579072 0
1.531623382249839e-05 0.3074999996842307 0
1.854361013140468e-05 0.3074999995369577 0
2.177098648410436e-05 0.3074999993615877 0
2.49983633083962e-05 0.3074999991581128 0
2.82257402767807e-05 0.3074999989265775 0
3.145311690732713e-05 0.3074999986669337 0
3.468049347539007e-05 0.3074999983792223 0
1.302786930501867e-05 0.3074999997716958 0
1.625524580609018e-05 0.3074999996443675 0
1.948262210600831e-05 0.3074999994889883 0
2.270999793729061e-05 0.3074999993054905 0
2.59373734558914e-05 0.3074999990939065 0
2.916474868430812e-05 0.3074999988542249 0
3.239212380143819e-05 0.3074999985864337 0
