y x z
3.178185908704861e-06 0.3074999999863332 0
1.38037287030079e-06 0.3074999999974251 0
2.070558802611684e-06 0.307499999994255 0
2.760745194138154e-06 0.3074999999896799 0
3.450932172388656e-06 0.3074999999839668 0
1.65311890337512e-06 0.3074999999962766 0
2.343306685376321e-06 0.3074999999924746 0
3.033496546432059e-06 0.3074999999873981 0
3.723686183359967e-06 0.3074999999811607 0
1.9258759853224e-06 0.307499999994844 0
2.616065235922861e-06 0.3074999999906441 0
3.306254443584783e-06 0.3074999999850747 0
1.508443922099323e-06 0.3074999999966486 0
2.198634519434621e-06 0.3074999999932227 0
2.888825182351814e-06 0.3074999999884968 0
3.579015217853151e-06 0.3074999999825612 0
1.781205341902021e-06 0.3074999999955175 0
2.471395468972234e-06 0.3074999999915273 0
3.16158570397637e-06 0.3074999999862593 0
1.363777145777186e-06 0.3074999999971797 0
2.053969363840291e-06 0.307499999994035 0
2.744161691479933e-06 0.307499999989512 0
3.434354903554555e-06 0.3074999999837116 0
1.636548832132281e-06 0.3074999999959691 0
2.326742966142084e-06 0.3074999999922859 0
3.016936187428054e-06 0.3074999999873314 0
3.707129944044449e-06 0.3074999999810412 0
1.909324027207265e-06 0.3074999999946408 0
2.599518762844695e-06 0.3074999999904708 0
3.289713745264086e-06 0.3074999999849497 0
1.491908964850049e-06 0.3074999999964556 0
2.182105589162368e-06 0.3074999999929779 0
2.872302190981589e-06 0.3074999999882848 0
3.562498300905706e-06 0.3074999999822564 0
1.764695208244395e-06 0.3074999999951412 0
2.454892794715639e-06 0.3074999999911185 0
3.145091572976297e-06 0.3074999999859179 0
1.347290188510423e-06 0.3074999999967917 0
2.037489319714206e-06 0.3074999999936368 0
2.727688777405194e-06 0.3074999999891025 0
3.417889457502826e-06 0.3074999999833776 0
1.620090318708033e-06 0.3074999999956542 0
2.310291086721521e-06 0.3074999999919381 0
3.000492955389507e-06 0.3074999999870174 0
3.69069353156891e-06 0.3074999999807816 0
1.892894665623354e-06 0.3074999999942759 0
2.583096544847841e-06 0.3074999999900327 0
3.273299948947599e-06 0.307499999984609 0
1.475502866670434e-06 0.3074999999961285 0
2.165706153001831e-06 0.3074999999927489 0
2.855909571228801e-06 0.3074999999880148 0
3.546112599596068e-06 0.3074999999820896 0
1.748316281773291e-06 0.3074999999948714 0
2.438521072531984e-06 0.3074999999908792 0
3.128726255501597e-06 0.3074999999857086 0
1.330931248982859e-06 0.3074999999965052 0
2.021137330620921e-06 0.307499999993376 0
2.711343378257233e-06 0.3074999999889668 0
3.401550585079053e-06 0.3074999999832144 0
1.603758230199901e-06 0.3074999999953085 0
2.293965970253301e-06 0.3074999999917577 0
2.984172984907159e-06 0.3074999999868762 0
3.674380267419805e-06 0.3074999999806459 0
1.876588669660611e-06 0.3074999999940524 0
2.566797868323028e-06 0.3074999999898959 0
3.257007211748418e-06 0.307499999984527 0
1.459216408052236e-06 0.3074999999959656 0
2.149426081966436e-06 0.3074999999926571 0
