x y
0.997161 0.0979354
0.988693 0.195319
0.974741 0.291621
0.955531 0.386354
0.931364 0.479086
0.90259 0.569452
0.869595 0.657161
0.832782 0.74199
0.792556 0.823783
0.749312 0.902445
0.703425 0.977931
0.655248 1.05024
0.605105 1.1194
0.553289 1.18547
0.500065 1.24854
0.445671 1.30869
0.390316 1.36602
0.334185 1.42064
0.27744 1.47267
0.220226 1.5222
0.162666 1.56936
0.10487 1.61425
0.0469312 1.65696
-0.0110667 1.69761
-0.0690525 1.73628
-0.126964 1.77308
-0.184748 1.80807
-0.242357 1.84136
-0.299752 1.87301
-0.356897 1.9031
-0.413763 1.93169
-0.470324 1.95887
-0.526559 1.98468
-0.582448 2.00918
-0.637975 2.03244
-0.693127 2.05451
-0.747893 2.07542
-0.802262 2.09524
-0.856228 2.114
-0.909784 2.13175
-0.962924 2.14852
-1.01565 2.16436
-1.06794 2.1793
-1.11982 2.19337
-1.17126 2.20661
-1.22228 2.21904
-1.27288 2.23069
-1.32304 2.2416
-1.37278 2.25178
-1.4221 2.26127
-1.47099 2.27008
-1.51945 2.27824
-1.5675 2.28576
-1.61513 2.29268
-1.66234 2.29901
-1.70913 2.30476
-1.75552 2.30996
-1.8015 2.31462
-1.84707 2.31876
-1.89224 2.32239
-1.93701 2.32553
-1.98138 2.3282
-2.02535 2.3304
-2.06894 2.33215
-2.11213 2.33346
-2.15495 2.33435
-2.19738 2.33482
-2.23943 2.33489
-2.2811 2.33457
-2.3224 2.33387
-2.36333 2.3328
-2.4039 2.33136
-2.4441 2.32957
-2.48394 2.32743
-2.52342 2.32496
-2.56254 2.32217
-2.60132 2.31905
-2.63974 2.31562
-2.67782 2.31189
-2.71555 2.30786
-2.75295 2.30354
-2.79 2.29894
-2.82672 2.29406
-2.86311 2.28891
-2.89916 2.2835
-2.93489 2.27783
-2.97029 2.2719
-3.00537 2.26573
-3.04012 2.25932
-3.07456 2.25267
-3.10869 2.24579
-3.1425 2.23868
-3.176 2.23135
-3.20919 2.2238
-3.24207 2.21605
-3.27465 2.20808
-3.30693 2.19991
-3.33891 2.19154
-3.37059 2.18297
-3.40197 2.17422
-3.43306 2.16527
-3.46386 2.15614
-3.49437 2.14683
-3.52459 2.13735
-3.55452 2.12769
-3.58417 2.11786
-3.61353 2.10786
-3.64262 2.0977
-3.67143 2.08738
-3.69996 2.0769
-3.72821 2.06626
-3.75619 2.05548
-3.7839 2.04454
-3.81134 2.03346
-3.83851 2.02224
-3.86541 2.01088
-3.89205 1.99937
-3.91842 1.98773
-3.94453 1.97596
-3.97038 1.96406
-3.99597 1.95203
