kin pot x y z vx vy vz
2.33789e-05 -3.6722e-05 -0.29009 6.27658 0 0.998933 0.0464841 0
2.33789e-05 -3.6722e-05 -0.294034 6.27639 0 0.998904 0.0471118 0
2.33789e-05 -3.6722e-05 -0.297978 6.27621 0 0.998875 0.0477395 0
2.33789e-05 -3.6722e-05 -0.301922 6.27602 0 0.998845 0.0483672 0
2.33789e-05 -3.6722e-05 -0.305865 6.27583 0 0.998814 0.0489949 0
2.33789e-05 -3.6722e-05 -0.309809 6.27564 0 0.998783 0.0496225 0
2.33789e-05 -3.6722e-05 -0.313752 6.27545 0 0.998752 0.0502501 0
2.33789e-05 -3.6722e-05 -0.317695 6.27525 0 0.998721 0.0508777 0
2.33789e-05 -3.6722e-05 -0.321638 6.27505 0 0.998689 0.0515053 0
2.33789e-05 -3.6722e-05 -0.325581 6.27485 0 0.998656 0.0521328 0
2.33789e-05 -3.6722e-05 -0.329524 6.27464 0 0.998624 0.0527604 0
2.3379e-05 -3.6722e-05 -0.333467 6.27443 0 0.99859 0.0533879 0
2.3379e-05 -3.6722e-05 -0.337409 6.27423 0 0.998557 0.0540154 0
2.3379e-05 -3.6722e-05 -0.341352 6.27401 0 0.998523 0.0546429 0
2.3379e-05 -3.6722e-05 -0.345294 6.2738 0 0.998489 0.0552703 0
2.3379e-05 -3.6722e-05 -0.349236 6.27358 0 0.998454 0.0558978 0
2.3379e-05 -3.6722e-05 -0.353178 6.27336 0 0.998419 0.0565252 0
2.3379e-05 -3.67219e-05 -0.35712 6.27314 0 0.998383 0.0571526 0
2.3379e-05 -3.67219e-05 -0.361062 6.27292 0 0.998347 0.0577799 0
2.3379e-05 -3.67219e-05 -0.365003 6.27269 0 0.998311 0.0584073 0
2.3379e-05 -3.67219e-05 -0.368945 6.27246 0 0.998274 0.0590346 0
2.33791e-05 -3.67219e-05 -0.372886 6.27223 0 0.998237 0.0596619 0
2.33791e-05 -3.67219e-05 -0.376827 6.27199 0 0.9982 0.0602892 0
2.33791e-05 -3.67219e-05 -0.380768 6.27176 0 0.998162 0.0609164 0
2.33791e-05 -3.67219e-05 -0.384709 6.27152 0 0.998124 0.0615436 0
2.33791e-05 -3.67219e-05 -0.388649 6.27128 0 0.998085 0.0621708 0
2.33791e-05 -3.67219e-05 -0.39259 6.27103 0 0.998046 0.062798 0
2.33791e-05 -3.67219e-05 -0.39653 6.27078 0 0.998006 0.0634252 0
2.33791e-05 -3.67219e-05 -0.400471 6.27054 0 0.997967 0.0640523 0
2.33791e-05 -3.67219e-05 -0.404411 6.27028 0 0.997926 0.0646794 0
2.33791e-05 -3.67219e-05 -0.40835 6.27003 0 0.997886 0.0653065 0
2.33791e-05 -3.67219e-05 -0.41229 6.26977 0 0.997845 0.0659335 0
2.33792e-05 -3.67219e-05 -0.41623 6.26951 0 0.997803 0.0665606 0
2.33792e-05 -3.67219e-05 -0.420169 6.26925 0 0.997761 0.0671876 0
2.33792e-05 -3.67219e-05 -0.424108 6.26899 0 0.997719 0.0678145 0
2.33792e-05 -3.67219e-05 -0.428047 6.26872 0 0.997677 0.0684415 0
2.33792e-05 -3.67219e-05 -0.431986 6.26845 0 0.997634 0.0690684 0
2.33792e-05 -3.67219e-05 -0.435925 6.26818 0 0.99759 0.0696953 0
2.33792e-05 -3.67218e-05 -0.439864 6.26791 0 0.997546 0.0703222 0
2.33792e-05 -3.67218e-05 -0.443802 6.26763 0 0.997502 0.070949 0
2.33792e-05 -3.67218e-05 -0.44774 6.26735 0 0.997458 0.0715758 0
2.33792e-05 -3.67218e-05 -0.451678 6.26707 0 0.997413 0.0722026 0
2.33792e-05 -3.67218e-05 -0.455616 6.26679 0 0.997367 0.0728294 0
2.33793e-05 -3.67218e-05 -0.459554 6.2665 0 0.997321 0.0734561 0
2.33793e-05 -3.67218e-05 -0.463491 6.26621 0 0.997275 0.0740828 0
2.33793e-05 -3.67218e-05 -0.467429 6.26592 0 0.997229 0.0747094 0
2.33793e-05 -3.67218e-05 -0.471366 6.26563 0 0.997182 0.0753361 0
2.33793e-05 -3.67218e-05 -0.475303 6.26533 0 0.997134 0.0759627 0
2.33793e-05 -3.67218e-05 -0.479239 6.26503 0 0.997087 0.0765893 0
2.33793e-05 -3.67218e-05 -0.483176 6.26473 0 0.997039 0.0772158 0
2.33793e-05 -3.67218e-05 -0.487112 6.26443 0 0.99699 0.0778423 0
2.33793e-05 -3.67218e-05 -0.491048 6.26412 0 0.996941 0.0784688 0
2.33793e-05 -3.67218e-05 -0.494984 6.26381 0 0.996892 0.0790953 0
2.33793e-05 -3.67218e-05 -0.49892 6.2635 0 0.996842 0.0797217 0
2.33794e-05 -3.67218e-05 -0.502856 6.26319 0 0.996792 0.0803481 0
2.33794e-05 -3.67218e-05 -0.506791 6.26287 0 0.996742 0.0809745 0
2.33794e-05 -3.67218e-05 -0.510726 6.26255 0 0.996691 0.0816008 0
2.33794e-05 -3.67218e-05 -0.514661 6.26223 0 0.996639 0.0822271 0
2.33794e-05 -3.67218e-05 -0.518596 6.26191 0 0.996588 0.0828534 0
2.33794e-05 -3.67218e-05 -0.522531 6.26158 0 0.996536 0.0834796 0
2.33794e-05 -3.67217e-05 -0.526465 6.26126 0 0.996483 0.0841058 0
2.33794e-05 -3.67217e-05 -0.530399 6.26092 0 0.99643 0.084732 0
2.33794e-05 -3.67217e-05 -0.534333 6.26059 0 0.996377 0.0853581 0
2.33794e-05 -3.67217e-05 -0.538267 6.26026 0 0.996324 0.0859843 0
2.33794e-05 -3.67217e-05 -0.5422 6.25992 0 0.99627 0.0866103 0
2.33795e-05 -3.67217e-05 -0.546134 6.25958 0 0.996215 0.0872364 0
